Text,Emotion,Intensity,Clean_Text
That grudge you're holding keeps making an appearance because #God wants you to deal with it.,anger,0.5,grudge hold keep make appearance want deal
@arppaul @chetanlfc @mannkakhiladi @dey_spandan @umeroffcial  Comparing Akshay Sir with this zandu balm is an insult to Akshay Sir.,anger,0.5,compare akshay sir zandu balm insult akshay sir
ðŸ”¥Anger is the acid that can do more harm to the vessel in which it is stored than to anything on which it is poured.ðŸ”¥ #anger \n\n~Mark Twain,anger,0.5,ðÿ anger acid harm vessel store mark twain
"If I spend more than Â£10 in shimmy on Â£1 drinks I'll be raging, but we all know it's gonna happen",anger,0.5,spend â shimmy â drink rage know go to happen
I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage,anger,0.52,rage rage ep come soon post
"@iamsrk what's up w the gender bias? #indignant This fancypants saddler's daughter will opt for the leather jacket, thank you very much.",anger,0.5,w gender bias fancypant saddler daughter opt leather jacket thank
When your sister is 19 and throws legitimate temper tantrums just to get attention..,anger,0.5,sister throw legitimate temper tantrums attention
@luxbet Did you even give out any pizzas ? Serious fail #hungry  #hangry,anger,0.4,pizza fail
This provocation sets off a curiosity. An entity is feeding fuel to the fire. speaking quatrains. Hmmm America needs to be vigilant now,anger,0.5,provocation set curiosity entity feeding fuel fire speak quatrains hmmm america need vigilant
@PatVPeters @FreeBeacon Quite the response of retaliation from Weiner in getting revenge on Huma &amp; Hillary 'clam digging'.\n#AllScumbags,anger,0.5,response retaliation weiner get revenge huma amp hillary clam
I guess #bradangelina &gt; #anger &gt; #blacklivesmatter,anger,0.5,guess gt gt
Now that I have my ex's number now its time to prank him. #revenge #prank #whatprankIshoulddo seriously what prank I should I do,anger,0.5,ex number time prank seriously prank
"Do not despise the Lord â€™s #discipline, do not #resent his rebuke, because the #Lord disciplines those he loves... #Proverbs 3:11-12",anger,0.5,despise lord â s rebuke discipline love
Guy across from me in a really ugly suit cannot stop expressing his displeasure,anger,0.5,guy ugly suit stop express displeasure
Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice #anger #sadness,anger,0.5,move clip youtube tonight vigil hold tulsa metropolitan baptist church
I think I must scare my coworkers when I'm eating like a rabid animal on my breaks #srry,anger,0.5,think scare coworker eat like rabid animal break
@JuliaHB1 Bloody right #fume,anger,0.5,bloody right
@RoyEnglish roy as fiery,anger,0.5,roy fiery
Why a puerto Rican with Taino hair and a black nose gotta ruffle your targeted feathers?,anger,0.5,puerto rican taino hair black nose get to ruffle target feather
@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis ,anger,0.5,prudence suggest bump week view skepticism medium hrc axi
Listening to Joey really helps me and my anger.,anger,0.5,listen joey help anger
@kerrybowen_ you have anger issues!,anger,0.5,anger issue
i can't believe they're all messing up my favourite of all bakes i feel personally offended,anger,0.5,believe mess favourite bake feel personally offend
I think they may be #offended,anger,0.5,think
@ashleighjessica @zacflint1 I'd give that pout the firm D,anger,0.5,pout firm d
I am using twitter as a coping mechanism for raging out at this kid oops?,anger,0.5,twitter cope mechanism rage kid oop
@AgentTinsley I believe that's what you call the fury of the righteous.,anger,0.5,believe fury righteous
Ok but I just got called a 'White Devil' on the train and I didnt know whether to laugh or be offended,anger,0.484,ok got call white devil train not know laugh offend
#india will take #revenge  by making 3 new movies like #phantom and they will be like #ghus_k_maren_ge this is how indian army take revenge,anger,0.5,make new movie like like indian army revenge
@cxmbeferre so you WOULDNT date me????? #offended,anger,0.494,not date
Drop Snapchat names #bored #snap #swap #pics,anger,0.5,drop snapchat name
Damn our offense is a mix bag of unpredictable lethal weapons I'm worried for Defense Coordinators ðŸ˜ #Chargers #Boltup #Recharged,anger,0.479,damn offense mix bag unpredictable lethal weapon worry defense coordinator
the bee sting still suck i feel sick,anger,0.479,bee sting suck feel sick
I just love it when people make plans for me without actually including me in this process ,anger,0.479,love people plan actually include process
"@healeyraine I'm offended, I actually am",anger,0.479,offend actually
pressure does burst pipes ðŸ˜­,anger,0.479,pressure burst pipe
"@voguemagazine, did you not learn from @FreePeople 's viral insult to ballet? Stop trying to wrongfully stick models into pointe shoes ðŸ™„",anger,0.479,learn viral insult ballet stop try wrongfully stick model pointe shoe ðÿ
@realDonaldTrump: No sense in taking out your wrath on innocent people because you think police shot an innocent man. #MakeAmericaSafeAgain,anger,0.479,sense take wrath innocent people think police shoot innocent man
@GriffinBowie23 @AliMcClimond sorry to #offend u griffin!!,anger,0.479,sorry u griffin
@JohnKerry can be as indignant as he wants but the world knows Obama will do nothing and Putin will just do what he wants #Aleppo #Syria,anger,0.479,indignant want world know obama putin want
"@sarah_urbina why do you even beef Sara you let the anger get the best of you, you and Sagin been friends for how long?",anger,0.479,beef sara let anger good sagin friend long
"@lydss_xx @tharealversace @fatbellybella fuckin luv incense, this is me as fuck ðŸ˜‚",anger,0.479,fuckin luv incense fuck
I screened my own snap what kind of narcissistic ass would smh,anger,0.479,screen snap kind narcissistic ass smh
I don't even #feel #anger anymore can't explain it .. #Tulsa #Charlotte #Trayvon #SandraBland #Philando #Ferguson #BatonRouge #MichaelBrown,anger,0.479,anymore explain
@Freepenalties @TMortimerFtbl Doll is a vile creature on the touchline. Every game he has tantrums &amp; shouts at the ref. Would love to see,anger,0.479,doll vile creature touchline game tantrums amp shout ref love
@jwolfie_ why you gotta use the dark skin emoji ,anger,0.479,get to use dark skin emoji
jamming out to fury in math class wanting to die hbu,anger,0.479,jam fury math class want die hbu
"So I wished my sis 12 midnight but received no reply from her. My 2nd sis JUST wished her, got a reply. You know who's the fav #offended",anger,0.479,wish sis midnight receive reply sis wish get reply know fav
@evanareteos :)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then! #revenge,anger,0.479,m write abt change face sex industry tr man talk
can't believe Achilles killed me! ,anger,0.479,believe achille kill
"@a_mxe7 hah don't speak to me or my cousin like that, mind a had the displeasure of seeing u bare faced on eh train, no a pretty sight mate",anger,0.479,hah speak cousin like mind displeasure see u bare face eh train pretty sight mate
Indignation: [whispers to date during that terrific Lerman/Letts centerpiece scene] That's his overwhelming sense of indignation.,anger,0.479,indignation whisper date terrific lerman lett centerpiece scene overwhelming sense indignation
"@CBSBigBrother never bring back Meech and Bridgette. Crying because someone looks at you? Ugh, and Bridgette. ",anger,0.479,bring meech bridgette cry look ugh bridgette
@trendykittykat Some people would rather hang on to their indignant anger. *weary sigh*,anger,0.479,people hang indignant anger weary sigh
@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks ,anger,0.479,thank say wife get iphone today lose eta
Thatmoment you're watching #worstcelebritycooks and your bubble is burst by finding out KyleXY is gay and marriedðŸ˜­ #nochance #KindaDontMindðŸ˜‰,anger,0.479,thatmoment watch bubble burst find kylexy gay
Women don't like girls because we resent them for looking so great/we wish we still looked like that  #washed,anger,0.479,woman like girl resent look great wish look like
Hey folks sorry if anything offensive got posted on here yesterday my account got hacked. All fixed now though. I hope :-/ #angry #annoyed,anger,0.479,hey folk sorry offensive got post yesterday account got hack fix hope
"@IndigoHawthorne Then u understand that rage is often not pretty, or controlled or rational - it is often visceral-not always logical.",anger,0.479,u understand rage pretty control rational visceral logical
"My leg feels like it's gonna burst, yet I'm still expected to go into work:):)",anger,0.333,leg feel like go to burst expect work
"The best revenge is to move on, get over it, and continue to succeed. Never give someone the satisfaction of watching you suffer.",anger,0.479,good revenge continue succeed satisfaction watching suffer
Get to work and there's a fire drill. #fire  #outthere #inthedark,anger,0.479,work fire drill
@LaraTheIrish &lt; feel everything. She would remember everything. Evanora hoped this would serve to fuel the creatures anger and run rabid &gt;,anger,0.479,lt feel remember evanora hope serve fuel creature anger run rabid gt
@Kim_is__bored exactly what I have been saying on fb.. #bitter,anger,0.479,exactly say fb
Get to work and there's a fire drill. #fire #burning #outthere #inthedark,anger,0.479,work fire drill
@simon_penn_r @AntisocialJW2 has turned into a rather fiery GG radical),anger,0.479,turn fiery gg radical
"significantly, with a #bitter smile, 'let me",anger,0.479,significantly smile let
@MetPoliceFC is it true none of your players are cops? Do they drink chilled bitter? Are your players Walter Mitty types? @KeviboyAllen,anger,0.479,true player cop drink chill bitter player walter mitty types
Brendan Rodgers looks fuming ðŸ˜­,anger,0.479,brendan rodger look fume
"@ChronAVT ummm, the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an ",anger,0.479,ummm blog say simon stehr fake I expect investigation forthwith
My baskets are better when I'm in a bad mood someone irritate me before practice please,anger,0.479,basket well bad mood irritate practice
Be chill af if you want to offend someone.,anger,0.479,chill af want offend
@DRUDGE_REPORT @FoxNews good thing the FBI didn't offend them!,anger,0.479,good thing fbi offend
you know cyran still hasn't done makeup based on jeongguk's tiddy like i suggested and i'm #offended,anger,0.479,know cyran makeup base jeongguk tiddy like suggest
@danrafaelespn no Tyson fury beat the man who been at top for years Danny Garcia should be above Bradley pacquaio frampton,anger,0.479,tyson fury beat man year danny garcia bradley pacquaio frampton
"So I wished my sis 12 midnight but received no reply from her. My 2nd sis JUST wished her, got a reply. You know who's the fav ",anger,0.479,wish sis midnight receive reply sis wish get reply know fav
"@m_t_f_72 I'm not surprised, I would be fuming! ðŸ˜¤",anger,0.479,surprised fuming
oh these old things on my face? nah they're not tears from school related anger and frustration nope never,anger,0.479,oh old thing face nah tear school relate anger frustration nope
British humour should offend and challenge mainstream views. Hat off to Clarkeson. The ultra left should go and kneel before Allah!!,anger,0.479,british humour offend challenge mainstream view hat clarkeson ultra leave kneel allah
I need all your attention! If I don't I'll pout..,anger,0.479,need attention pout
@AudreyKare i'm like half expecting some rabid troll to come into my mentions accusing me of being a csa apologist or something lmao,anger,0.479,like half expect rabid troll come mention accuse csa apologist lmao
"Because it was a perfect illusion, but at least now I know what it was.  #ladygaga #iscalming#mysoul",anger,0.479,perfect illusion know
Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG,anger,0.458,puzzle investing open portland feodal population correlative straight snorting infuriate xlzjyhg
"@len_snart gives a frustrated growl, before stepping closer and putting his gun through the barrier. No alarms and nothing happened. He-",anger,0.458,give frustrated growl step close put gun barrier alarm happen
@AaronGoodwin seriously dude buy some bubble tape for your phones. #snap broke another phone,anger,0.458,seriously dude buy bubble tape phone break phone
When you forget to mention you were bought dreamboys tickets ðŸ™„ðŸ˜‚ #raging,anger,0.458,forget mention buy dreamboy ticket ðÿ
Now that @Jasmine_Wrn has snapchat back it's a constant battle to see who can get the ugliest snap of one another ðŸ˜‚ðŸ™ƒ #snap survival,anger,0.458,snapchat constant battle ugliest snap survival
Nick said he's territorial and he'll growl if someone gets too close to me #hesananimal,anger,0.458,nick say territorial growl get close
"I don't mean to offend anyone, but 93.7 literally blames everything on white people. In some cases it's true, but a lot of times, it's not",anger,0.458,mean offend literally blame white people case true lot time
He totally knew about it'. Trump finally gets revenge for his son-in-law's prosecution/imprisonment and throws Christie under the bus.,anger,0.458,totally know trump finally get revenge son law prosecution imprisonment throw christie bus
Inner conflict happens when we are at odds with ourselves. Honor your values and priorities. #anger #innerconflict #conflict #values,anger,0.458,inner conflict happen odd honor value priority
Are belittling kitty straight a service? provoke lift aboard!: Wycelv,anger,0.458,belittle kitty straight service provoke lift aboard wycelv
@EAMaddenNFL @EASPORTS I played a game where John Elway was sacked 3x and fumbled all 3x. Is this the same John elway I know of??? #madden,anger,0.458,play game john elway sack fumble john elway know
And she got all angry telling me 'but what would be doing a 40 year old guy looking for a girl like you' and I felt ,anger,0.458,get angry tell year old guy look girl like feel
@BearGrylls for your next series will u do a celebrity firefighting show and just chuck them all in a burning building and do the voiceover?,anger,0.458,series u celebrity firefighting chuck burning building voiceover
Like I can't do 12 hours worth of standing or calorie burning in 3 hours ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ #1stworldprobs4vs,anger,0.458,like hour worth stand calorie burn hour
Before revenge you feel good after revenge you feel worse ðŸ’¯ @HillaryClinton,anger,0.458,revenge feel good revenge feel bad
I wonder what would happen if I were to tell some people the truth #savage #uhoh ,anger,0.458,wonder happen tell people truth
Take public opinion on revenge with Pakistan if govt is unable to decide. @aajtak @TimesNow @narendramodi,anger,0.458,public opinion revenge pakistan govt unable decide
@cxmbeferre so you WOULDNT date me????? ,anger,0.458,not date
the teams that face Barca and Bayern after a defeat are the ones who face the wrath,anger,0.458,team face barca bayern defeat one face wrath
I just don't understand why everyone is so #angry we all just want to live and thrive don't we?,anger,0.458,understand want live thrive
"@kitanoye Hell is hot and boiling, isi ewu",anger,0.458,hell hot boiling isi ewu
#welfarereform should not be a 'model' for #snap.,anger,0.458,model
@HillaryClinton Yeah U gotta make them HEEL. I know U need their votes so U have to wait. But when U LOSE-they're really in for your wrath !,anger,0.458,yeah u get to heel know u need vote u wait u lose they wrath
Well @AprilDRyan Trump's rabid base needs 2 hear this &amp; U can always find an overseer like King to say it.\n@JoyAnnReid @SMShow @frangeladuo,anger,0.458,trump rabid base need hear amp u find overseer like king
Skipping meals is the national way of showing #disappointment and #anger. #wiz,anger,0.458,skip meal national way show
streets of rage 2 was hard to find for a while and then Itunes stepped in and the guys doing the vinyl \nmade it so simple,anger,0.458,street rage hard find itune step guy vinyl simple
@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone ,anger,0.458,bad news order online go happen order phone
"@UltimateBoxer My heart because you left me for so long again\n\n*slight pout but it turned to a smile*\n\nheheh just kidding, no I'm fine-",anger,0.458,heart leave long pout turn kid
why are people so angry toward veggie burgers at in n out wtf,anger,0.458,people angry veggie burger n wtf
"I mean I'm not done watching the pilot, but it's nice to see a group of actors perform without story lines dripping relentless nihilism.",anger,0.458,mean watch pilot nice group actor perform story line drip relentless nihilism
Checked-in for my flight to Toronto. Took seat 3D just to infuriate @perpetualgeek.,anger,0.458,check flight toronto take seat infuriate
Egyptian officials expressed frustration and outrage over the Obama/Hillary administrationâ€™s support of the Muslim Brotherhood,anger,0.579,egyptian official express frustration outrage obama hillary administrationâ s support muslim brotherhood
@PrincessCasGirl @DaddyEllis__ tiff you better hurry cause ðŸ‘€,anger,0.458,tiff well hurry cause ðÿ
"@fleetstreetfox It's buzzing pathetically for sympathy if you let it out it will twirl it's moustache, chuckle and sting you #Psychowasp",anger,0.458,buzz pathetically sympathy let twirl moustache chuckle sting
matt and i just did a psychological study on provocation in abusive relationships.,anger,0.458,matt psychological study provocation abusive relationship
@HuffPostUK  NO greater wrath than a woman scorned.,anger,0.458,great wrath woman scorn
@kencurtin they might get Donal Ã³g sure! They won't have him in cork as he's to fiery for dopey frank &amp; his cult,anger,0.458,donal sure will cork fiery dopey frank amp cult
"@LouisFil just curious as to what you mean. No rush, no animosity, no disdain.",anger,0.458,curious mean rush animosity disdain
@thatomahapa the best revenge is to get yourself a good woman and move on. Leave her and her hairline to figure themselves out alone,anger,0.438,good revenge good woman leave hairline figure
"@tamriiel I was talking about further in the expansion, with more gear - fury always does well towards the end",anger,0.441,talk expansion gear fury end
Who knew softballs could sting so bad? Jimmy Fallon has been under a lot of heat for his &amp;ldquo;softball&amp;rdquo; Donald Trump interview,anger,0.414,know softball ste bad jimmy fallon lot heat donald trump interview
@OstinOng YUUUHH ðŸ™„ðŸ˜­ plus clin ep and prevmed ugghhh hahaha ,anger,0.438,yuuuhh ðÿ plus clin ep prevme ugghhh hahaha
@StrongestBeing â†would furrow and her face would redden as she protests; it would seem that being seen as unattractive in Wukong's eyes wasâ†’,anger,0.481,furrow face redden protest see unattractive wukong eye
Finding out my two best Fwendz are going to rage with me at @lifeisbeautiful makes this last week of no sleep extra worth it,anger,0.438,find good fwendz go rage make week sleep extra worth
Paul forever. Paul should have won! Paul played such a better game! #BB18 #angry,anger,0.466,paul forever paul win paul play well game
@marthalyssa yep. LOL ,anger,0.438,yep lol
@AuntieSupreme @KimberlyCarole y'all found me to express yalls displeasure. ðŸ˜‰,anger,0.438,y find express yall displeasure
@1VoiceMatters @MichaelTPremo just got wind of #MenForChoice and it doesn't infuriate me. Just makes me sad for the generation.,anger,0.438,get wind infuriate make sad generation
Since the 'update' my @iPhone loses power nearly 40% faster. ,anger,0.438,update lose power nearly fast
The sun literally burning my skin,anger,0.438,sun literally burn skin
That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. ,anger,0.438,feel travel mile pick form arrive post day leave
@DL_Hart @DonnieDollars @AaronBiggsPro @WWENoWayJose @cwfmidatlantic How did that chop feel? You still feel the sting of it? Looks brutal!,anger,0.462,chop feel feel sting look brutal
Chris ate all my mac n cheese so imma eat all his taffy ,anger,0.438,chris eat mac n cheese imma eat taffy
"@thomeagle Just to help maintain and boost our status as a world class centre for education, culture and tolerance. #outrage",anger,0.438,help maintain boost status world class centre education culture tolerance
Chris ate all my mac n cheese so imma eat all his taffy #revenge,anger,0.438,chris eat mac n cheese imma eat taffy
It's weird because I was discussing sex resentment and confusion in the thing I was writing last night.,anger,0.438,weird discuss sex resentment confusion thing write night
"As if he heard my thought on the ether, my #ex has just posted #facebook pic of himself snuggling up with said #cats... now Im just ",anger,0.438,hear think ether post pic snuggling say m
Paul forever. Paul should have won! Paul played such a better game! #BB18 ,anger,0.438,paul forever paul win paul play well game
@BigBrother__USA she is just jealous and a cry baby!  #gladsheisgone #crybaby,anger,0.438,jealous cry baby
"@clarechampion @Westclarepage and peter your radio piece on off the ball was pure class , no digs , no revenge , a total balanced pro ! ðŸ‘ðŸ‘ðŸ‘",anger,0.438,peter radio piece ball pure class dig revenge total balanced pro
@coltonflurry @StrangeFacesLA I cancelled by CBS all access live feeds before JC even said Vic won AFP. Paul.should have won IMO ,anger,0.438,cancel cbs access live feed jc say vic win afp win imo
"The best #revenge is to move on, get over it, and continue to #succeed. Never give someone the #satisfaction of watching you #suffer....!!!",anger,0.438,good continue watch
"@iStoleFreeHugs @stephlaris lol I'm happy with my negative, realistic ass self. Sorry to offend you",anger,0.438,lol happy negative realistic ass self sorry offend
75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.,anger,0.438,tierney reach deep cross post play alloa defence clear celtic relentless
Can't believe I've only got 2 days off left ðŸ™„ #backtoreality ,anger,0.438,believe get day leave ðÿ
@vladfucker69 i look rabid,anger,0.472,look rabid
"@thedrepabon BLM was outraged by the shooting in NC the other day, turns out the guy pointed gun at police. Wait for facts before outrage",anger,0.438,blm outraged shooting nc day turn guy point gun police wait fact outrage
I get embarrassed at the slightest things and then I'll fret about it all day I hate it,anger,0.438,embarrass slight thing fret day hate
@Sophiejulia @CalebAtChipotle @calebpressleyxo relentless pipe thirst #sheltered,anger,0.438,relentless pipe thirst
I don't get what point is made when reporting on Charlotte looting @CNNAshleigh. Why not explore what looting businesses symbolizes ,anger,0.438,point report charlotte looting explore loot business symbolize
#Taurus will react angrily when she can't take being provoked any longer.,anger,0.438,react angrily provoke long
@bismahmalik .....Seems like a fight ready to rage on.....,anger,0.438,like fight ready rage
@WestonKoury so leafy can roast the Pokemon go kid but not you what an outrage that just means that he is more relevant than y-I mean kisses,anger,0.491,leafy roast pokemon kid outrage mean relevant y mean kiss
"I think Paul is what's bitter, not the pastry",anger,0.492,think paul bitter pastry
@PatriotsInform I don't see why you think we'll have a dumbed down simplified offense with Brissett. He comes from a very complicated system,anger,0.438,think dumbe simplified offense brissett come complicated system
"After becoming boiling hot, after slowly melting, my heart is frozen.",anger,0.438,boil hot slowly melt heart freeze
@xandraaa5 @amayaallyn6 shut up hashtags are cool ,anger,0.438,shut hashtag cool
@hoytschile fury road!!,anger,0.438,fury road
Realizing that holding a grudge for long is immaturity is wisdom,anger,0.438,realize hold grudge long immaturity wisdom
"@BonesARP 'That is a disappointment.'\n\nHe fakes a pout, then starts to chuckle.",anger,0.438,disappointment fake pout start chuckle
Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice  #sadness,anger,0.438,move clip youtube tonight vigil hold tulsa metropolitan baptist church
@RegalisAzura \ngrasp the cobalt woman's own; which they did fairly easily. Fair cheeks would ignite into a fiery hue. Warm.. was the only,anger,0.438,cobalt woman fairly easily fair cheek ignite fiery hue warm
@billburr DirectTV is the best. Apparently you just sit in silent anger. 'Don't press or say anything',anger,0.417,directtv well apparently sit silent anger press
I believe women are more fiery because once a month they go through struggle and struggle is what develops a strong character.,anger,0.417,believe woman fiery month struggle struggle develop strong character
@kingcharles9th i Lowkey forgot you had twitter and if you don't follow me back im gonna be ,anger,0.417,lowkey forgot twitter follow m go to
"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway",anger,0.417,m definitely bitter yellow ranger asian asian representation hollywood essentially shrug
Did we miss the fact that #BurkeRamsey swung &amp;hit his sister #JonBenet in the face with a golf club previously out of a fit of ?,anger,0.417,miss fact swung sister face golf club previously fit
@talkRobyn oh dear I have to watch this the woman with the pout did well,anger,0.442,oh dear watch woman pout
LIFE TIP 101. I know unresolved #anger is likely to cause problems in several areas of my life. I must recognize it &amp; properly deal with it.,anger,0.417,life tip know unresolved likely cause problem area life recognize amp properly deal
"@Sargon_of_Akkad It'll be like burning rap albums; they'll have to buy it first, but gosh darn it, they have to get rid of it.",anger,0.417,like burn rap album buy gosh darn rid
@Docjp they unleashing God's wrath just as Cain did,anger,0.417,unleash god wrath cain
@SlaveGuinevere its more of a little prick than a sting .......... but you have to come to Tennessee to get it1,anger,0.417,little prick sting come tennessee
@DeltaDomain @SawDraze @qurions dis dat nigga from fume right?,anger,0.417,dis dat nigga fume right
Projection is perception. See it in someone else? You also at some level have that within you. #anger #worry,anger,0.417,projection perception level
"@SageHillfarms @HintonAlisa @hb_heather Hey, Jayme! Were yourðŸ‘‚ðŸ‘‚ burning cuz I was talking about you?ðŸ˜ Are you going tomorrow?",anger,0.417,hey jayme burn cuz talk go tomorrow
"@savageimiike one of my favorite songs brother, real talk. #rage",anger,0.417,favorite song brother real talk
Controlling #anger is a sign of those #righteous people promised #Paradise in the #Quran in Surah Al Imran verses 133-134 #reward #goodDeed,anger,0.417,control sign people promise surah al imran verse
@alyssasimpson21 I gave up KENDRICK LAMAR to eat barbecue with him. ,anger,0.417,give kendrick lamar eat barbecue
the 1975 are playing antichrist why won't @sundarakarma play hustle it's an outrage,anger,0.417,play antichrist will play hustle outrage
@TDsNation I blame how broken madden is this year,anger,0.417,blame break madden year
"@MMASOCCERFAN @outmagazine No offense but the only way this makes sense is if you work for the magazine. Otherwise,who are you apologizing 4",anger,0.417,offense way make sense work magazine apologize
Nahhhhhh @konanplaydirty snap story has got me bussing up ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,anger,0.417,nahhhhhh snap story got buss
"@ticcikasie1 With a frown, she let's out a distraught 'Gardevoir' saying that she wishes she had a trainer",anger,0.417,frown let distraught gardevoir say wish trainer
@skinkev let's rage,anger,0.417,let rage
If i could just get my line to block! #germantownbroncos #lilleague #popwarner #Broncos #usafootball  #lineman,anger,0.417,line block
"@BIGGKATZ BUT arms (focused rage) is overpowered, it will be getting nerfed. It'll still be stronger than fury though",anger,0.468,arm focus rage overpower getting nerfe strong fury
"@KevinI @GGGBoxing @SpecialKBrook pretty average, klitschko fury did about 600k and Joshua white did about 450k",anger,0.417,pretty average klitschko fury joshua white
"@WBIRSports They're still using his offense, up the middle 3X &amp; punt.",anger,0.417,offense middle amp punt
@jessebwatters lol. Love it when you aggravate Juan. Keep up the good work. Lol,anger,0.242,lol love aggravate juan good work lol
@judahandthelion TONIGHT. Legit can't wait to rage ðŸ¤˜ðŸ»ðŸ¤˜ðŸ»ðŸ¤˜ðŸ»ðŸ¤˜ðŸ»ðŸ¤˜ðŸ»ðŸ”¥,anger,0.417,tonight legit wait rage ðÿ
"Seeing #RIPShawtyLo got me thinking bout other rappers then I thought about @LilTunechi dying, and burst into tears... Smh",anger,0.417,see got think bout rapper think die burst tear smh
"@donna_bellav @SoniaRayS @gig_aholic He looks especially lovely. Sadly, I do not *removes potentially indignant Mr D from convo*",anger,0.417,look especially lovely sadly remove potentially indignant mr d convo
my momma irritate me asking all these questions like gone ðŸ˜¤,anger,0.417,momma irritate ask question like go
The bubble has officially burst. 98 boys to beat for the trophy and all the glory #wptmain #bye,anger,0.29,bubble officially burst boy beat trophy glory
"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! ",anger,0.417,haha actually doggie barrack gws
"@feistyarcher -trouble,' he feigned anger and gave her a look that told her to behave. He knew she wouldn't though, and that was one of -",anger,0.417,feigned anger give look tell behave know
@JBCrewdotcom how his own fans insult him,anger,0.417,fan insult
I offend u,anger,0.417,offend u
np rum rage,anger,0.417,np rum rage
Some bloke on the train who's obviously trying to provoke West Ham fans by loudly slagging off the stadium to his mate on the phone,anger,0.434,bloke train obviously try provoke west ham fan loudly slag stadium mate phone
#welfarereform should not be a 'model' for .,anger,0.417,model
@TheDTSB @trubble1127 @nflnetwork I agree but our offense was ass after the second half td score on the first drive,anger,0.417,agree offense ass second half td score drive
"@RealPaulWalker R.I.P Paul, furious 8 can't wait",anger,0.254,paul furious wait
"Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before Trump got into politics.",anger,0.417,trumpism likewise rest bed racial resentment knowingly intentionally long trump get politic
"If you let a general tweet offend you, you definitely shouldn't be on twitter.",anger,0.417,let general tweet offend definitely twitter
"As your own lives in order to complete our amazing life journey successfully, it is there. #bitter",anger,0.417,live order complete amazing life journey successfully
@marthalyssa yep. LOL #bitter,anger,0.417,yep lol
straight people are canoodling on the quad and I'm ,anger,0.417,straight people canoodle quad
remember when that guy got #angry that i kept saying gary sanchez was the best baseball player in the world... lmao,anger,0.417,remember guy got keep say gary sanchez good baseball player world lmao
"What's a Kali's kitten? [She asked, a frown curling on her fair skinned forehead as he showed her the scar] A cat did - (@ScarredTiger)",anger,0.417,kali kitten ask frown curl fair skin forehead show scar cat
@everycolorbot more like every color looks the same #triggered #colorblind ,anger,0.396,like color look
My husband found out there are other rabid hockey fans like me as we waited in line 4 of the 6 window stickers were for SJ NHL/AHL hockey.,anger,0.396,husband find rabid hockey fan like wait line window sticker sj nhl ahl hockey
"@ParrishWalton @kjmgolf Also, our best assets on offense are our RB's and our WR's (longterm). Have to have an offense to utilize both.",anger,0.396,good asset offense rb wr longterm offense utilize
@UnknownAndYoung â€” a low growl escaping him. Oh oh.,anger,0.396,â low growl escape oh oh
@RiotzXVl papercuts sting and stub ur toe last for like 10 secs,anger,0.396,papercut ste stub ur toe like sec
I've been wanting salty fries from McDonald's since yesterday and I'm burning my fingers eating them bc these shits ðŸ”¥ðŸ”¥ðŸ”¥,anger,0.396,want salty fry mcdonald yesterday burn finger eat bc shit ðÿ ðÿ ðÿ
Love how Megan is raging about this Kendall Jenner photo and I'm sat here like ðŸ¤”ðŸ™ƒ,anger,0.396,love megan rage kendall jenner photo sit like ðÿ ðÿ
@josephperson Cam is still rattled from the backlash he received when he made the black QB comment and suffered the wrath of White America.,anger,0.396,cam rattle backlash receive black qb comment suffer wrath white america
Because you offended by the lies of Alexandria Goddard doesn't mean that I'm Deric's friend or anything else. Purely a fishin expedition.,anger,0.427,offend lie alexandria goddard mean deric friend purely fishin expedition
"Y'all really insult coz of soccer???  Lmao, wow!!!!!!",anger,0.396,y insult coz soccer lmao wow
What terrible thing to see and have no vision-\n\nHelen Keller-\n\n-Begin with the end in mind-\n\nStephen Covey-\n\n #whereareugoing ,anger,0.396,terrible thing begin end
@StarFlowerz17 @DreamerAbe #bitter. Nicole and Cory is why she was evicted.,anger,0.396,nicole cory evict
